nrCpfCnpjCliente
32623612000127
02181711000135
30549830000133
30726410000185
28757668000105
43488667000198
13577079000160
22655560000117
18701613000111
17316105000157
21080610000112
32433204000102
09082158000122
41712615000128
49545015000124
34277281000146
26165368000101
33520093000134
36368336000159
22306097000106
10215988000160
85466035000173
04386041000119
69042703000189
43192431000100
35722445000160
04153386000122
51541274000129
09612485000149
14835389000108
24592309000186
15440099000110
30488809000175
45990181000189
10983746000116
45065406000190
14322161000106
18722610000164
24663300000119
24804696000258
19315499000154
08892643000107
12189000000160
20801832000114
35604577000197
31934468000187
01913507000107
00840131000187
40656041000155
20470692000149
58739426000141
20129971000143
21049781000189
14209446000135
83060012000139
29402622003062
26033888000233
05641466000190
08882288000187
06080612000118
22768736000147
03816134000173
17462263000115
14226610000112
09180370000122
09124558000153
03038563000167
03153958000100
12380730000144
23188789000151
13108976000124
02743744000121
01881938000120
62158480000170
83134742000137
22351354000113
04839752000100
24222197000171
23349606000132
34639889000173
08646756000114
06068565000197
71832828000154
42045907000117
05446221000101
59513804000137
01189079000103
15588383000138
17874862000146
08055242000194
03603463000136
04484522000167
05408181000103
12454467000190
10229298000160
08720743000148
06115374000139
23793006000169
40212827000183
57417339000105
24866899000198
11805914000146
17332625000153
12494542000147
72398381000110
35794350000151
05557929000130
05776677000130
23020181000113
19091996000116
14737503000159
69032720000135
43444543000100
18412578000110
26783820000190
31582134000191
02286586000128
28770203000186
28071997000190
28059144000132
14147804000122
13158625000128
36567884000108
21543571000142
38080897000183
01496359000164
53424594000124
11896184000136
02702662000139
64094154000172
09557443000152
14761392000116
06340193000106
07398064000131
28646036000166
10664921000102
34255071000157
11838635000189
20466877000180
30997874000126
20558242000102
08757412000263
01214392000154
04226092000183
10747411000107
18183454000100
26198627000192
31527080000161
33238000000183
84304443000166
29130151000146
01020919000100
04455607000117
26664330000175
02014786000121
05399929000159
06281859000100
18015774000151
04899316037895
00399079000175
02974733000748
33828058000187
31587959000107
00427140000140
14629015000128
34047974000142
22506892000130
32490505000178
01396770000168
03322445000186
04143385000105
29568733000109
56110059000197
12472738000130
28525214000109
04455452000119
04480645000391
24401151000110
02991409000142
42201967000181
09395423000122
19490427000143
29315437000104
40537569000105
05063653001024
32077451000113
07768031000306
04924314000131
39943318000141
05872835000155
10848385000103
04222166000103
03781148000107
96274535000120
96849286000153
28264563000106
12940347000101
09388117000169
86565330000140
40202946000155
02880425000168
16844588000108
04163684000101
